symbol,date,time,open,high,low,close,volume,amt
510300.SH,2021/8/27,15:00,4.80403075,4.868031979,4.801076847,4.823723436,232236414,1140911552
510300.SH,2021/8/30,15:00,4.835539047,4.846370025,4.784338064,4.806000018,215532211,1052155088
510300.SH,2021/8/31,15:00,4.806984653,4.821754167,4.736090983,4.80403075,245032607,1190430816
510300.SH,2021/9/1,15:00,4.805015384,4.911355888,4.765630012,4.872955151,386518272,1903964592
510300.SH,2021/9/2,15:00,4.883786128,4.891663202,4.844400756,4.869016614,224004834,1107121904
510300.SH,2021/9/3,15:00,4.869016614,4.892647837,4.833569779,4.842431487,348367264,1718509776
510300.SH,2021/9/6,15:00,4.842431487,4.938925649,4.83849295,4.925140769,494535872,2468976368
510300.SH,2021/9/7,15:00,4.9231715,5.010803953,4.90938662,4.98717273,457495600,2304933616
510300.SH,2021/9/8,15:00,4.991111267,5.01474249,4.95074126,4.966495409,236943077,1198609520
510300.SH,2021/9/9,15:00,4.953695163,4.965510775,4.925140769,4.964526141,182545189,917262208
510300.SH,2021/9/10,15:00,4.959602969,5.048220056,4.956649066,5.012773221,389334976,1982110592
510300.SH,2021/9/13,15:00,5.006865416,5.030496639,4.957633701,4.986188095,320015728,1620670960
510300.SH,2021/9/14,15:00,4.98717273,5.003911513,4.900524911,4.921202231,327712000,1645687920
510300.SH,2021/9/15,15:00,4.913325157,4.914309791,4.841446853,4.869016614,270735872,1340902832
510300.SH,2021/9/16,15:00,4.869016614,4.878862957,4.806000018,4.813877093,429348432,2106848912
510300.SH,2021/9/17,15:00,4.812892458,4.858185636,4.793199772,4.85227783,513992688,2520613344
510300.SH,2021/9/22,15:00,4.785322698,4.836523682,4.777445624,4.819784899,491629600,2399574656
510300.SH,2021/9/23,15:00,4.841446853,4.878862957,4.830615876,4.848339293,286973248,1413518496
510300.SH,2021/9/24,15:00,4.85227783,4.898555643,4.842431487,4.855231733,464771184,2299464432
510300.SH,2021/9/27,15:00,4.869016614,4.921202231,4.84538539,4.886740031,359893584,1786172112
510300.SH,2021/9/28,15:00,4.878862957,4.903478814,4.850308562,4.877878322,263635257,1306079040
510300.SH,2021/9/29,15:00,4.846370025,4.872955151,4.803046115,4.84538539,592261072,2909490208
510300.SH,2021/9/30,15:00,4.847354659,4.876893688,4.84538539,4.859170271,312959664,1544835056
510300.SH,2021/10/8,15:00,4.901509545,4.937941015,4.894617105,4.929079306,244624120,1222701424
510300.SH,2021/10/11,15:00,4.93695638,4.982249558,4.924156134,4.928094672,260322371,1309512480
510300.SH,2021/10/12,15:00,4.910371254,4.921202231,4.837508316,4.876893688,330606832,1639579408
510300.SH,2021/10/13,15:00,4.869016614,4.947787358,4.867047345,4.932033209,253573666,1264333984
510300.SH,2021/10/14,15:00,4.926125403,4.95074126,4.894617105,4.905448083,199808658,998317200
510300.SH,2021/10/15,15:00,4.90249418,4.939910283,4.883786128,4.929079306,217970095,1089703600
510300.SH,2021/10/18,15:00,4.926125403,4.927110037,4.840462219,4.871970516,251260474,1241208464
510300.SH,2021/10/19,15:00,4.864093442,4.9231715,4.861139539,4.918248329,288469792,1436191680
510300.SH,2021/10/20,15:00,4.9231715,4.944833455,4.894617105,4.904463448,156696300,782001184
510300.SH,2021/10/21,15:00,4.903478814,4.949756626,4.885755397,4.926125403,224085516,1119219632
510300.SH,2021/10/22,15:00,4.933017843,4.99406517,4.933017843,4.958618335,334597344,1686635696
510300.SH,2021/10/25,15:00,4.944833455,4.983234192,4.934002477,4.975357118,265374504,1336929136
510300.SH,2021/10/26,15:00,4.977326387,5.009819318,4.945818089,4.958618335,247909532,1251852288
510300.SH,2021/10/27,15:00,4.946802723,4.946802723,4.881816859,4.893632471,278104304,1385676608
510300.SH,2021/10/28,15:00,4.883786128,4.900524911,4.850308562,4.872955151,441341200,2185194496
510300.SH,2021/10/29,15:00,4.870001248,4.905448083,4.858185636,4.904463448,426484704,2114092672
510300.SH,2021/11/1,15:00,4.880832225,4.911355888,4.863108808,4.8887093,195002345,967955360
510300.SH,2021/11/2,15:00,4.885755397,4.918248329,4.799107578,4.837508316,429413520,2119278880
510300.SH,2021/11/3,15:00,4.834554413,4.860154905,4.80403075,4.81781563,340635104,1671068448
510300.SH,2021/11/4,15:00,4.837508316,4.874924419,4.836523682,4.864093442,284423296,1403738128
510300.SH,2021/11/5,15:00,4.854247099,4.890678568,4.846370025,4.847354659,265600790,1312374544
510300.SH,2021/11/8,15:00,4.844400756,4.871970516,4.826677339,4.843416122,312485200,1539084832
510300.SH,2021/11/9,15:00,4.859170271,4.875909054,4.816830996,4.841446853,262840000,1292760720
510300.SH,2021/11/10,15:00,4.837508316,4.837508316,4.751845132,4.816830996,489426384,2379856064
510300.SH,2021/11/11,15:00,4.806984653,4.898555643,4.805015384,4.89560174,352364992,1740182224
510300.SH,2021/11/12,15:00,4.899540277,4.914309791,4.877878322,4.893632471,272906704,1355972400
510300.SH,2021/11/15,15:00,4.897571008,4.914309791,4.867047345,4.887724665,335915376,1667408832
